Net sampling time (us): 8256
Per Sample (us): 4.03
Timebase: 0.1 mS/div
Actual Timebase (us): 100.78
CH1 Coupling: DC, Range: 5V/div
CH2 Coupling: --, Range: +-2048
Triggered: YES
CH1 Stats (V):
	Vmax: 6.51, Vmin: 2.80, Vavr: 4.58, Vpp: 3.71, Vrms: 4.89
	Freq: 1000.75, Cycle: 1.00 ms, PW: 0.49 ms, Duty: 49.52 %

Time	CH1	CH2	D_CH1	D_CH2
0.00	2.85	46	1	0
4.03	2.90	73	1	0
8.06	2.85	46	1	0
12.09	2.85	71	1	0
16.12	2.90	45	1	0
20.16	2.90	184	1	0
24.19	2.95	44	1	0
28.22	2.95	189	1	0
32.25	2.90	40	1	0
36.28	2.90	185	1	0
40.31	2.90	37	1	0
44.34	2.90	182	1	0
48.38	2.85	45	1	0
52.41	2.90	188	1	0
56.44	2.85	149	1	0
60.47	2.90	184	1	0
64.50	2.95	146	1	0
68.53	3.00	187	1	0
72.56	2.95	141	1	0
76.59	2.90	184	1	0
80.62	6.05	141	1	0
84.66	6.25	58	1	0
88.69	6.31	147	1	0
92.72	6.25	60	1	0
96.75	6.31	140	1	0
100.78	6.25	59	1	0
104.81	6.20	145	1	0
108.84	6.31	63	1	0
112.87	6.36	167	1	0
116.91	6.36	69	1	0
120.94	6.25	46	1	0
124.97	6.25	140	1	0
129.00	6.25	181	1	0
133.03	6.31	146	1	0
137.06	6.25	63	1	0
141.09	6.25	168	1	0
145.12	6.31	69	1	0
149.16	6.25	172	1	0
153.19	6.31	71	1	0
157.22	6.25	174	1	0
161.25	6.15	140	1	0
165.28	6.31	59	1	0
169.31	6.31	147	1	0
173.34	6.31	60	1	0
177.37	6.25	147	1	0
181.41	6.31	61	1	0
185.44	6.25	141	1	0
189.47	6.25	60	1	0
193.50	6.25	147	1	0
197.53	6.25	60	1	0
201.56	6.25	-4	1	0
205.59	6.20	62	1	0
209.62	6.25	-1	1	0
213.66	6.36	57	1	0
217.69	6.41	-3	1	0
221.72	6.25	62	1	0
225.75	6.31	-1	1	0
229.78	6.25	57	1	0
233.81	6.25	-4	1	0
237.84	6.31	175	1	0
241.87	6.31	-4	1	0
245.91	6.25	171	1	0
249.94	6.25	-3	1	0
253.97	6.25	172	1	0
258.00	6.20	-3	1	0
262.03	6.25	173	1	0
266.06	6.36	72	1	0
270.09	6.31	172	1	0
274.12	6.25	71	1	0
278.16	6.31	173	1	0
282.19	6.25	74	1	0
286.22	6.31	171	1	0
290.25	6.31	72	1	0
294.28	6.25	173	1	0
298.31	6.31	73	1	0
302.34	6.25	46	1	0
306.37	6.25	76	1	0
310.41	6.20	40	1	0
314.44	6.31	71	1	0
318.47	6.31	43	1	0
322.50	6.31	71	1	0
326.53	6.25	45	1	0
330.56	6.31	73	1	0
334.59	6.31	40	1	0
338.62	6.31	186	1	0
342.66	6.25	37	1	0
346.69	6.25	182	1	0
350.72	6.31	45	1	0
354.75	6.25	187	1	0
358.78	6.25	40	1	0
362.81	6.25	184	1	0
366.84	6.36	44	1	0
370.87	6.25	185	1	0
374.91	6.31	148	1	0
378.94	6.25	188	1	0
382.97	6.31	141	1	0
387.00	6.31	185	1	0
391.03	6.25	144	1	0
395.06	6.20	184	1	0
399.09	6.25	147	1	0
403.12	6.25	62	1	0
407.16	6.20	142	1	0
411.19	6.25	59	1	0
415.22	6.25	146	1	0
419.25	6.31	61	1	0
423.28	6.25	147	1	0
427.31	6.25	62	1	0
431.34	6.31	143	1	0
435.37	6.31	58	1	0
439.41	6.25	-4	1	0
443.44	6.31	61	1	0
447.47	6.25	-2	1	0
451.50	6.25	62	1	0
455.53	6.25	-1	1	0
459.56	6.20	57	1	0
463.59	6.25	-5	1	0
